é¸îgêî,êUïù
0.21645,1.615635
0.4329,1.001721
0.649351,1.661292
0.865801,1.283979
1.082251,1.210813
1.298701,1.396379
1.515152,1.030485
1.731602,0.637978
1.948052,1.510588
2.164502,1.046195
2.380952,1.156932
2.597403,1.504299
2.813853,0.310157
3.030303,0.94462
3.246753,0.323921
3.463203,1.766871
3.679654,1.339451
3.896104,0.478125
4.112554,1.166554
4.329004,0.169386
4.545455,1.131098
4.761905,0.614822
4.978355,0.778806
5.194805,0.449225
5.411255,0.24294
5.627706,0.325422
5.844156,0.129807
6.060606,0.682009
6.277056,0.593471
6.493506,0.402358
6.709957,0.491124
6.926407,0.232331
7.142857,0.076957
7.359307,0.293834
7.575758,0.401511
7.792208,0.174825
8.008658,0.296505
8.225108,0.23452
8.441558,0.287573
8.658009,0.313432
8.874459,0.168815
9.090909,0.463881
9.307359,0.123672
9.52381,0.763487
9.74026,0.528201
9.95671,0.360527
10.17316,0.401746
10.38961,0.060867
10.60606,0.718683
10.82251,0.23423
11.03896,0.513642
11.25541,0.334435
11.47186,0.610756
11.68831,0.236025
11.90476,0.275484
12.12121,0.444036
12.33766,0.151096
12.55411,0.112877
12.77056,0.190493
12.98701,0.055274
13.20346,0.182852
13.41991,0.066953
13.63636,0.17056
13.85281,0.07034
