•G,‘«Žñ,ŽèŽñ
0.6444191956,0.053852372,0.6713133659
0.5608710124,0.0258888942,0.693268161
0.4244344144,0.0084317175,0.5811709829
0.3185736314,-0.0145338806,0.4042502963
0.2612153708,0.0777444778,0.3864805828
0.1532799747,-0.0472142102,0.3969239285
0.1200046319,-0.0859668308,0.2932726458
0.0664777749,-0.0993890046,0.2356001584
0.0523048213,-0.1083263285,0.3332045755
0.0170448502,-0.1102458809,-0.0771117451
0.0658186222,-0.0994513634,0.172214184
0.016258542,-0.0561449167,-0.1396297263
0.0362485184,-0.0489681429,-0.1351347525
0.0580850695,-0.0469301268,-0.0742220081
0.0951155094,-0.0495816007,-0.0335871717
0.1395407378,-0.0411955672,0.0253431034
0.1347006165,-0.0203399349,0.0222307118
0.2001295883,0.0132259776,0.0424184401
0.2805022516,0.0563683195,0.028726658
0.2590517509,0.0963812153,0.0280466479
0.2399988084,0.1071408097,0.0120389159
0.1808506796,0.0276993235,0.015377967
0.1455835294,0.0153747037,-0.0072507889
0.0289657407,-0.0235277721,0.0317696855
-0.0539630884,-0.0708244558,0.027031593
-0.1163247046,0.1503634559,0.0305598827
-0.1370561166,0.1277536676,0.0925837128
-0.1673636007,-0.1258205188,0.0829390578
-0.123591078,-0.1480084051,0.1244665521
-0.1254831415,-0.1528388569,0.081318777
-0.1408287885,-0.1281164611,0.0020122067
-0.1139570088,-0.1254406319,-0.0413920494
-0.0788691044,-0.1365574195,-0.0476211639
-0.0097049455,-0.0810132903,-0.0918845177
0.0235622218,-0.1053476859,-0.0095609054
0.0365540791,-0.0887192719,-0.0203425693
0.0669302892,-0.0818012342,-0.0439216949
0.1142301965,-0.0348522701,-0.0299988079
0.0810239279,-0.0160377926,-0.0985328501
